album_title,song_title,writer_name,year
"""",""", 1917, """,David Bowie,"1999
"
Diamond Dogs,""", 1984, ""","David Bowie
","1974
"
Heathen,""", 5:15 The Angels Have Gone, ""","David Bowie
","2002
"
Never Let Me Down,"""87 and Cry"", ","David Bowie
","1987
"
"""Heroes""","""Abdulmajid""","David Bowie
","1991
"
Absolute Beginners,""", Absolute Beginners, ""","David Bowie
","1986
"
Young Americans,""", Across the Universe, """,John Lennon,"1975
"
Heathen,"""Afraid""","David Bowie
","2002
"
Lodger,""", African Night Flight, """,David Bowie,"1979
"
The Man Who Sold the World,""", After All, ""","David Bowie
","1970
"
Sound + Vision,"""After Today""","David Bowie
","1989
"
"""",""", Alabama Song, """,Bertolt Brecht,"1980
"
Aladdin Sane,""", Aladdin Sane (1913–1938–197?), ""","David Bowie
","1973
"
Outside,"""Algeria Touchshriek""",David Bowie,"1995
"
Low,"""All Saints""","David Bowie
","1991
"
The Man Who Sold the World,""", All the Madmen, ""","David Bowie
","1970
"
David Live,""", All the Young Dudes, ""","David Bowie
",1974
Low,""", Always Crashing in the Same Car, ""","David Bowie
","1977
"
"""",""", Amsterdam, """,Jacques Brel,"1973
"
"""","""And I Say to Myself"", (David Bowie with The Lower Third), ","David Bowie
","1966
"
Hunky Dory,""", Andy Warhol, ""","David Bowie
","1971
"
Pin Ups,""", Anyway, Anyhow, Anywhere, """,Roger Daltrey,"1973
"
Low,""", Art Decade, ""","David Bowie
","1977
"
Labyrinth,""", As the World Falls Down, ""","David Bowie
","1986
"
Scary Monsters (And Super Creeps),""", Ashes to Ashes, ""","David Bowie
","1980
"
The Next Day Extra,"""Atomica""","David Bowie
","2013
"
Baal,"""Baals Hymn""",Bertolt Brecht,"1982
"
Outside,"""Baby Grace (A Horrid Cassette)""",David Bowie,"1995
"
"""",""", Baby Loves That Way, "", (, Davy Jones,  and The Lower Third), ","David Bowie
","1965
"
Baal,"""Ballad of the Adventurers""",Bertolt Brecht,"1982
"
Never Let Me Down,""", Bang Bang, """,Iggy Pop,"1987
"
Early On (1964–1966),"""Bars of the County Jail""","David Bowie
","1965
"
Earthling,"""Battle for Britain (The Letter)""",David Bowie,"1997
"
Low,""", Be My Wife, ""","David Bowie
","1977
"
Never Let Me Down,"""Beat of Your Drum""","David Bowie
","1987
"
"""Heroes""",""", Beauty and the Beast, ""","David Bowie
","1977
"
Scary Monsters (And Super Creeps),""", ""Because You're Young"", ""","David Bowie
","1980
"
