text,song_title,album_title,writer_name,year
0.38461538461538464,1984,Diamond Dogs,David Bowie,1974
-0.20295138888888892,5:15 The Angels Have Gone,Heathen,David Bowie,2002
0.204265873015873,Absolute Beginners,Absolute Beginners,David Bowie,1986
-0.09921875,Afraid,Heathen,David Bowie,2002
0.17400982615268332,African Night Flight,Lodger,David Bowie,1979
-0.07522956841138662,After All,The Man Who Sold the World,David Bowie,1970
0.25,After Today,Sound + Vision,David Bowie,1989
0.31666666666666665,Aladdin Sane (1913–1938–197?),Aladdin Sane,David Bowie,1973
0.004545454545454544,Algeria Touchshriek,Outside,David Bowie,1995
0.0233028083028083,All the Madmen,The Man Who Sold the World,David Bowie,1970
0.05876736111111112,All the Young Dudes,David Live,David Bowie,1974
0.0255731922398589,Always Crashing in the Same Car,Low,David Bowie,1977
-0.07481203007518797,And I Say to Myself(David Bowie with The Lower Third) ,"""",David Bowie,1966
0.07555361305361304,Andy Warhol,Hunky Dory,David Bowie,1971
0.10228413163897035,As the World Falls Down,Labyrinth,David Bowie,1986
0.2180596255596256,Ashes to Ashes,Scary Monsters (And Super Creeps),David Bowie,1980
-0.24774033437826545,Atomica,The Next Day Extra,David Bowie,2013
0.22727272727272724,Baby Grace (A Horrid Cassette),Outside,David Bowie,1995
0.08873737373737378,Baby Loves That Way  ,"""",David Bowie,1965
0.1345486111111111,Bars of the County Jail,Early On (1964–1966),David Bowie,1965
-0.0804713804713805,Battle for Britain (The Letter),Earthling,David Bowie,1997
-0.059999999999999984,Be My Wife,Low,David Bowie,1977
0.1904761904761905,Beat of Your Drum,Never Let Me Down,David Bowie,1987
0.04585858585858584,Beauty and the Beast,"""Heroes""",David Bowie,1977
-0.0599702380952381,Because you're Young,Scary Monsters (And Super Creeps),David Bowie,1980
0.34845679012345676,A Better Future,Heathen,David Bowie,2002
-0.258094230530754,The Bewlay Brothers,Hunky Dory,David Bowie,1971
0.22160062160062163,Big Brother,Diamond Dogs,David Bowie,1974
-0.18333333333333335,Black Country Rock,The Man Who Sold the World,David Bowie,1970
-0.04569444444444445,Black Tie White Noise (featuring  Al B. Sure! ) ,Black Tie White Noise,David Bowie,1993
-0.17728395061728397,Blackout,"""Heroes""",David Bowie,1977
0.23130511463844794,★,★,David Bowie,2015
0.017777777777777778,Blue Jean,Tonight,David Bowie,1984
0.10091302636757182,Bombers,Hunky Dory,David Bowie,1990
-0.045833333333333316,Boss of Me,The Next Day,David Bowie,2013
0.28125,Boys Keep Swinging,Lodger,David Bowie,1979
0.0,Breaking Glass,Low,David Bowie,1977
-0.05110229276895943,Bring Me the Disco King,Reality,David Bowie,2003
-0.02111111111111112,Buddha of Suburbia,The Buddha of Suburbia,David Bowie,1993
-0.02111111111111112,Buddha of Suburbia (featuring  Lenny Kravitz  on guitar) ,The Buddha of Suburbia,David Bowie,1993
-0.04,Cant Help Thinking About Me(David Bowie with The Lower Third) ,"""",David Bowie,1966
0.17227792632204397,Candidate,Diamond Dogs,David Bowie,1974
-0.036111111111111115,Cat People (Putting Out Fire),Cat People,David Bowie,1982
0.12982456140350876,Changes,Hunky Dory,David Bowie,1971
0.0,Chant of the Ever Circling Skeletal Family,Diamond Dogs,David Bowie,1974
-0.1844582185491276,Chilly Down,Labyrinth,David Bowie,1986
-0.06728927203065135,China Girl,Let's Dance,David Bowie,1983
0.26296296296296295,Ching-a-Ling,Love You till Tuesday,David Bowie,1968
0.14615384615384613,Come and Buy My Toys,David Bowie,David Bowie,1967
-0.010299422799422805,Conversation Piece,"""",David Bowie,1969
0.023015873015873038,Cracked Actor,Aladdin Sane,David Bowie,1973
0.1499518102130043,Cygnet Committee,David Bowie,David Bowie,1969
-0.15,Dancing Out in Space,The Next Day,David Bowie,2013
0.021739130434782622,Dancing with the Big Boys,Tonight,David Bowie,1984
0.09858906525573188,Day-In Day-Out,Never Let Me Down,David Bowie,1987
-0.12678571428571428,Days,Reality,David Bowie,2003
-0.038888888888888896,Dead Against It,The Buddha of Suburbia,David Bowie,1993
0.09400456174649718,Dead Man Walking,Earthling,David Bowie,1997
0.11249970474300831,Diamond Dogs,Diamond Dogs,David Bowie,1974
0.11909090909090911,Did You Ever Have a Dream,"""",David Bowie,1967
-0.24472222222222223,Dirty Boys,The Next Day,David Bowie,2013
0.05972222222222222,DJ,Lodger,David Bowie,1979
-0.09999999999999998,Do Anything You Say,"""",David Bowie,1966
-0.11851851851851852,Dollar Days,★,David Bowie,2016
-0.15555555555555559,Dont Sit Down,David Bowie,David Bowie,1969
-0.11581944444444445,The Dreamers,Hours,David Bowie,1999
0.11309523809523808,Drive-In Saturday,Aladdin Sane,David Bowie,1973
-0.07777777777777779,Eight Line Poem,Hunky Dory,David Bowie,1971
-0.01481092436974788,Everyone Says Hi,Heathen,David Bowie,2002
-0.15041208791208788,Fall Dog Bombs the Moon,Reality,David Bowie,2003
-0.029843304843304854,Fame,Young Americans,David Bowie,1975
0.12693939393939396,Fantastic Voyage,Lodger,David Bowie,1979
0.08460743801652891,Fascination,Young Americans,David Bowie,1975
0.03493054564483137,Fashion,Scary Monsters (And Super Creeps),David Bowie,1980
0.06388888888888888,Five Years,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972
0.24126984126984127,Fly,Reality,David Bowie,2003
-0.07728395061728395,Future Legend,Diamond Dogs,David Bowie,1974
0.09299397920087578,Get Real,Outside,David Bowie,1995
-0.38333333333333347,Girl Loves Me,★,David Bowie,2016
